"Epoch","FCNN_Late_Fusion_ultrasound - _step","FCNN_Late_Fusion_ultrasound - _step__MIN","FCNN_Late_Fusion_ultrasound - _step__MAX","FCNN_Late_Fusion_ultrasound - R2/Val","FCNN_Late_Fusion_ultrasound - R2/Val__MIN","FCNN_Late_Fusion_ultrasound - R2/Val__MAX","FCNN_Mid_Fusion_ultrasound - _step","FCNN_Mid_Fusion_ultrasound - _step__MIN","FCNN_Mid_Fusion_ultrasound - _step__MAX","FCNN_Mid_Fusion_ultrasound - R2/Val","FCNN_Mid_Fusion_ultrasound - R2/Val__MIN","FCNN_Mid_Fusion_ultrasound - R2/Val__MAX","FCNN_no_ultrasound - _step","FCNN_no_ultrasound - _step__MIN","FCNN_no_ultrasound - _step__MAX","FCNN_no_ultrasound - R2/Val","FCNN_no_ultrasound - R2/Val__MIN","FCNN_no_ultrasound - R2/Val__MAX","UNet_Late_Fusion_ultrasound - _step","UNet_Late_Fusion_ultrasound - _step__MIN","UNet_Late_Fusion_ultrasound - _step__MAX","UNet_Late_Fusion_ultrasound - R2/Val","UNet_Late_Fusion_ultrasound - R2/Val__MIN","UNet_Late_Fusion_ultrasound - R2/Val__MAX","UNet_Mid_Fusion_ultrasound - _step","UNet_Mid_Fusion_ultrasound - _step__MIN","UNet_Mid_Fusion_ultrasound - _step__MAX","UNet_Mid_Fusion_ultrasound - R2/Val","UNet_Mid_Fusion_ultrasound - R2/Val__MIN","UNet_Mid_Fusion_ultrasound - R2/Val__MAX","UNet_no_ultrasound - _step","UNet_no_ultrasound - _step__MIN","UNet_no_ultrasound - _step__MAX","UNet_no_ultrasound - R2/Val","UNet_no_ultrasound - R2/Val__MIN","UNet_no_ultrasound - R2/Val__MAX"
"38","116","116","116","0.29925161600112915","0.29925161600112915","0.29925161600112915","116","116","116","0.3691583275794983","0.3691583275794983","0.3691583275794983","116","116","116","0.1135515570640564","0.1135515570640564","0.1135515570640564","116","116","116","0.4734141230583191","0.4734141230583191","0.4734141230583191","116","116","116","0.39953672885894775","0.39953672885894775","0.39953672885894775","116","116","116","0.3692696690559387","0.3692696690559387","0.3692696690559387"
"39","","","","","","","119","119","119","0.3660789728164673","0.3660789728164673","0.3660789728164673","119","119","119","0.1754865050315857","0.1754865050315857","0.1754865050315857","119","119","119","0.4829000234603882","0.4829000234603882","0.4829000234603882","119","119","119","0.39075690507888794","0.39075690507888794","0.39075690507888794","119","119","119","0.3461698293685913","0.3461698293685913","0.3461698293685913"
"40","","","","","","","122","122","122","0.36001676321029663","0.36001676321029663","0.36001676321029663","122","122","122","0.17966443300247192","0.17966443300247192","0.17966443300247192","122","122","122","0.48298466205596924","0.48298466205596924","0.48298466205596924","122","122","122","0.4138767719268799","0.4138767719268799","0.4138767719268799","122","122","122","0.3596927523612976","0.3596927523612976","0.3596927523612976"
"41","","","","","","","125","125","125","0.3623861074447632","0.3623861074447632","0.3623861074447632","125","125","125","0.15996664762496948","0.15996664762496948","0.15996664762496948","125","125","125","0.4946593642234802","0.4946593642234802","0.4946593642234802","125","125","125","0.4162772297859192","0.4162772297859192","0.4162772297859192","125","125","125","0.37535548210144043","0.37535548210144043","0.37535548210144043"
"42","","","","","","","128","128","128","0.3629545569419861","0.3629545569419861","0.3629545569419861","128","128","128","0.18250328302383423","0.18250328302383423","0.18250328302383423","128","128","128","0.49589478969573975","0.49589478969573975","0.49589478969573975","128","128","128","0.40965932607650757","0.40965932607650757","0.40965932607650757","128","128","128","0.3799808621406555","0.3799808621406555","0.3799808621406555"
"43","","","","","","","131","131","131","0.35928601026535034","0.35928601026535034","0.35928601026535034","","","","","","","131","131","131","0.48404955863952637","0.48404955863952637","0.48404955863952637","131","131","131","0.39708220958709717","0.39708220958709717","0.39708220958709717","131","131","131","0.3722870349884033","0.3722870349884033","0.3722870349884033"
"44","","","","","","","134","134","134","0.3675118088722229","0.3675118088722229","0.3675118088722229","","","","","","","134","134","134","0.49780571460723877","0.49780571460723877","0.49780571460723877","134","134","134","0.40842026472091675","0.40842026472091675","0.40842026472091675","134","134","134","0.39188259840011597","0.39188259840011597","0.39188259840011597"
"45","","","","","","","137","137","137","0.38207679986953735","0.38207679986953735","0.38207679986953735","","","","","","","137","137","137","0.4986249804496765","0.4986249804496765","0.4986249804496765","137","137","137","0.44673508405685425","0.44673508405685425","0.44673508405685425","137","137","137","0.3773213028907776","0.3773213028907776","0.3773213028907776"
"46","","","","","","","140","140","140","0.37285733222961426","0.37285733222961426","0.37285733222961426","","","","","","","140","140","140","0.4941927194595337","0.4941927194595337","0.4941927194595337","140","140","140","0.45364367961883545","0.45364367961883545","0.45364367961883545","140","140","140","0.39211755990982056","0.39211755990982056","0.39211755990982056"
"47","","","","","","","143","143","143","0.36068689823150635","0.36068689823150635","0.36068689823150635","","","","","","","143","143","143","0.49176591634750366","0.49176591634750366","0.49176591634750366","143","143","143","0.4527832269668579","0.4527832269668579","0.4527832269668579","143","143","143","0.3942251205444336","0.3942251205444336","0.3942251205444336"
